lower ,upper,Year0,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12
1,1000,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.05,0.04,0.05,0.06,0.06
1000,2000,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.03,0.04,0.03,0.04,0.05,0.05
2000,4000,0.07,0.07,0.08,0.07,0.06,0.07,0.07,0.07,0.09,0.09,0.08,0.12,0.12
4000,6000,0.09,0.09,0.11,0.11,0.08,0.08,0.09,0.1,0.1,0.12,0.11,0.13,0.13
6000,8000,0.1,0.1,0.1,0.11,0.1,0.11,0.11,0.11,0.13,0.12,0.12,0.13,0.13
8000,10000,0.11,0.11,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.11,0.12,0.12,0.12
10000,12000,0.11,0.11,0.11,0.12,0.11,0.12,0.12,0.12,0.1,0.11,0.1,0.1,0.1
12000,15000,0.14,0.14,0.13,0.15,0.15,0.13,0.15,0.14,0.13,0.13,0.13,0.11,0.11
15000,20000,0.15,0.15,0.15,0.14,0.17,0.16,0.13,0.14,0.12,0.13,0.12,0.1,0.1
20000,30000,0.13,0.13,0.1,0.11,0.11,0.12,0.11,0.09,0.09,0.09,0.1,0.06,0.06
30000,50000,0.06,0.06,0.05,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03
